tipărit
alaltă
chinului
vreo
plîngeri
spus
frîmtura
academiei
troiță
apostolilor
vedeți
curățit
mortul
schimbat
despicară
milui
t‹o›ate
cap
amăriala
primiș‹i›
preamilostiv
vea
svinte
l‹e›se
izvorît
marie
sta‹i
întrași
ierta
mîngîiare
nedejduim
bogoro(d)čna
unei
celelalte
răspuns
asămănare
duhul
se
chinurile
vădu
găvozdiși
nește
nevoință
filosofii
miale
vel$
gavriil
nemică
acestora
perită
n›oi
vifleaemul
străjuiia
ispovedesk
împreunatu
ieftinșigurilor
b‹o›
viață-făcătoriu
inițiale
închinăm
cîntat‹a›
sth
po‹c›aania
dobîndit
înspăima
cano
treale
credinţă
zi
acelora
adapă
deșteptă
putiare
stătut$
antifon
citească
cuvîntul
despuitura
oaia
slăbiciune
d‹u›mnedzŭ‹
evanghelice
fără-dumnedzeiria
împreune
ținiare
milostive
îngropături
chipul$
pecetluit
preasna
plîngi
celalalt$
‹cum›
urdziturile
lora
născătoaria
preacurată
ispitititură
întunecași
rost
urmeadză
slujim
luminat
cîntă
cest$
elu
nevîndut
vestiți
hii‹n›d
fiiului
lăuda
criedzu
tăiare
doamne
îndrăznirea
suflete
‹e›i
legat
mult
dmnezeiască
trupului
vărsat
unsu
înfrî
sînge
bl
ispăsitoriul
între
ceriuri
adînc
lucrat$
rugul
anul
fi
pomenia
netăiată
pusără
spăralrea
rodirilor
voinicilor
credincioși
transcriere
sluga
ale
plec‹a›ră
pînea
cuvîntului
bun
ii
străjuiră
învisu
vărsa
tuiala
siara
anevoe
protivnice
iani
am
pripealele
‹i›spăsitoare
ipoteza
biruiești
pămîntu
știe
prăzdnuiescu
dzilei
sl(v)‹a›
lepți
sosiși
s(d)ĕlny
creştinească
pierdură
au
ciaia
giurămînt
arătăș
acoperemînt
miluiască
palistina
păstorii
vestiaște
n_au
împărat
lipsind
colone
po(m
deac
înalțe
rodul
ea
pă
dmnădzău
ev(g)lĭskaa
răscumpărate
curate
județeană
studii
năstra
io
măgură
deșchiseră
priimiaște-me
fricoase
făclie
închinați
s(h
sfinție
stihr(a
inema
ferica
grije
diavo‹lul›
leane
rugat
dzului
cuvînta
rădică
înfrîmsețate
ucnici
liuterănesc$
manuscrisul
folositor
audziră
pugorîși
omlui
aducia
acestor
puiu
men›tia
învățătură
vînat
tea
facirile
p‹ur›tat
grăim
aiave
luîdu
braé
dmnă
cinstită
umbră
giudecii
tinsă
parte
gura
su
pomeneaște-me
iind$
sau
poruncă
lumia
mînca
depărta
gîndul
înșivă
călcători
împlură
sîmbătă
cădem
zioa
fericiadză
apărătorii
puncul
stăpîn
vrăjmașii
sibiu
i_au
cuvine
avut$
măriia
îndelung
grădinariu
lăudîndu
aron
un$
pricepia
iți
besearicii
calea
dihaniia
secolul
șiade
sîmt
ri
tineriul
nevastă
deasă
giumătate
poruncile
nezidită
ră
cuviioși
suspini
generat
atotputiarnic
neosindiți
agiutîndu
mării
mute
dragote
morțiiei
vistiiar
auzi
neatigîdu_se
învieriei
nişte
păreri
ţie
acolo
începutul
dumnedzeieșt‹i›
teadze
închinăciuni
ispăsiși
jdea
fața
sfta
scutiască
zilele
liturghiile
împelițași
canon
adam
ispăsi
sluji
mie
pomeniaște
aciaste
cum$
cearte
făptoriului
‹f›ără
co
sa
pîniei
mîngăitoriul
rugul$
slăvit
nădeajdia
măguriiei
pogorîrii
sî‹mb›etei
sti(h)vno
preabucurată
sculat
‹și›
mîndre
delaturi
ierusalimului
oaminilor
fac$
amărî
mortului
priiatenului
epcop
vedea
milă
preadulce
fără-moarte
tvorenie
dentru
ți
legații
dec
munca
vechi
soților
copaciul$
covîrșăști
diacon$
întîi
tată
mulțimea
înainte
oglindă
nepovĕ
bucu‹ră›
zevedeiu
dmnezăescul$
tipărit$
gheție
înșălătoriu
doao
ascunsele
bunăvoe
descriera
tropar
moartia
închisără
plecași
luminași
svetilnele
‹a›u
pra
dumnezău
muntele
t(ž
nemestecată
nenevestită
iară
rugăm
viața
sty῀hr
păstrată
iute
poate
dumnedzeiaște
primitor
lăsași
partia
acest$
tăș
el
satana
chir$
povăţuiţi
întrebi
săturăm
rupse
precum
lucrurător
finală
chipului
ascunde
sat
vecie
fiațe
fericată
vreare
scîrbă
folos
pranice
întocmit
slujba
cîd
ispiti
mîngîne
diacul
slavei
parile
făcînd$
runească
căzut
isp‹ă›siaște-me
sǫ(b
ritorii
octoih
articole
întărească
puii
afla‹ră›
cî‹n›tăm
botedzat$
ini
tebĕ
înseși
myi
învăța
bătut
dmnedzău
anterior
îngerilor
vie
ditîiu
s‹tătu›
dzeu
sio‹
cii
"

"
eres$
aducu
despotę
iubitor
împreună
stih(r)i
cealea
neîntîmplîndu_se
manuscrisă
ape
feațe
salte
îndelungu
propoveduită
preacinstit
is
aflate
mlădițe
mormintele
mormîn‹t›
rugătorii
scoase
‹t›rupul
aceastea
duhului
osîrdiia
mărturisită
podul
in῀i
tiveriiadului
săruta
chiciuri
gră‹i›
mormîntul
dezlegași
dare
dzău
lăudînd
unciale
oglinditori
sfințit
sfîrșitul
arătaria
v(č)e
înger
dunedzăul
alte
neispitit
cauți
curse
crediţă
nu
greșiților
cîntămu
deșertu
morții
biruit
închină
dmn
dăruiș‹i›
rădicatu
darurilor
stătuș‹i
luminii
folosiaște
dedeș‹i›
trîmbitați
creștinilo
biblioteca
frîmseș‹i›
spăsit
proslăvi
acestuia
cuviios
nedejduiiu
noiască
viniți
noastre
cetiți
dăm
luminie‹i›
svat
stătut
uscînd$
împărăție
hrănindu
călcași
făcută
hrănit
lăudaţi
desparte
ivi
svĕ(t
pomeniaște-me
cuprinde
noroadelor
dmnie
dza
oficierea
unui
dumnedzeiescu
slăvimu
cad
fericit
studiu
cîntaţ
mreaja
tei
avînd
înțelepțască
datorie
textul
luminătoriul
soarelui
‹în›gerilor
dvidă
dzice
ceriul
asupră
veseliți
înciape
bunătate
dzi
ardză
chiemînd
siamne
poarta
‹i›spăsit
bu
era
mlt
păcatului
împreunat
trecută
spăsiși
blgveniia
ruptu
nevădzutelor
îmble
ceia
împluiu
atavasiile
serafimii
ioa
nu_l
ispăsit
luntru
‹st›ihera
racoviță
datoria
s(d)ĕlna
gătită
slobod
crinul
lemu
giudece
in‹ni›
șaptea
mearsără
lumii
descoperit
anaforă
fecioarelor
cugeta
toriul$
carele
der‹e›pt
simtem
movilă
înderepatu
luminatului
incomplet
amistuia
t‹oate›
daț
sfatul$
d‹edeși
sti(h)vne
podobeaște
din$
cură
sîntem$
lepăda
epilogul
cetate
filologice
patruzeci
scăldătoarea
întărire
sporu
robi
zboru‹l›
curăți
pren
îmvăli
noroadelo
‹de
sty(h)ra
sfnta
filologic
învățată
stăpîne
agiută
suptu
rumîneaște
aflat
privire
dobîndi
ascunsu
cel
puse
adevărului
hirea
slăvin‹d›
împărății
plîngîndu
redactat
sufletelor
diavolului
hrănescu
lingvistice
negrăit$
‹ma›re
marea
inemilor
osîndiși
mriajia
născuși
nezidite
nebiruită
vostru
strigă
ședzînd
schimbă
împă‹ră›ție
iubitoru
st(h)i
omorîră
cioplit$
săvîrșite
legăturile
drept$
glasul
țață
vindecat
înălțate
cîtă
datornică
sîmbăta
pro(k)me(n
scoață
ariian
dulce
întări
trăguire
luțe‹i›
hire
dzică
arhanghelii
tînăr$
besiarecă
adevăr
calvini
multă
credință
pîndză
dat$
slăviţ
răsipiși
nedejduescu
ieftin
leapede
înțeleagă
românescă
lepădătorilor
xxiii
socotinței
iartă
stăpînie
sălășluindu_se
voii
transcris
adevărată
slăvescu
partea
῀žen
mir$
tedzul
vor$
arame
sfat
dajde
îngropatu
vasele
răspuns$
fură
mațelor
luat
vădzu
plîng
mu‹n›citurile
fă
sălaș
prorociria
zdrobiși
îngropare
moartea
da
împeliță
omenie
încununaț
scîrbele
nedeajde
bărbat$
ispăsitoriu
rodului
umbrit
țească
prezent
vădzîndu
descoperindu
besearecă
împlutu
divin
slobodziși
întîniu
luare
duce
striga
slove
slujitoriu
deminiață
aduna
leilor
manuscrisele
rălucirea
ferit
culcată
luminoasă
‹de›
priimiaște
papistășesc$
înfricoșe
moșu
nopției
lor
v(s)e
prorocul
făcut$
sîmbete
putea
întîiu
bucurară
nainte
celariul
botedz$
încuviințata
scripturile
emanoil
bărbat
sudul
nicidecum$
cade
știm
fum
oarece
știia
preacîntată
găvozdi
slăvesc
lupi
‹tăi
zilei
pănă
uraște
puseră
numele
păminte
propoveduim
sămănaiu
pentru
mîntuire
pace
împelițaria
ușia
logoditoriul
ceea
teamă
învăță
înșălăciune
atotdespnitoriulu
asupă
tur
oamini
ascunșii
îndrăzniț‹i›
bl῀ž(n)e
david
sui
lepedeul
ploiată
neputredire
sus$
jelaniia
sămînța
dmne
feriască
ceară
u‹n›
nașul
filosofi
mitropoliei
izvorîte
gice
bisericii
pînă
în‹vi›seș‹i›
trebuicioase
dmndzău
împărțitoriu
sculă
lacrămi
neispititei
fricoasă
îm
veșmintele
rău
despuitoriule
puniu
ceareria
cerbicia
thoma
vestită
capul
socoti
face
oamenii
îngropat
înălțaș‹i›
ms
lucrătorii
dhul$
bucurați
pururea
botedz
boteadză
aducem
aduse
împărătesc
încetaria
lumin‹at›
întregite
luo
mulțime
sopin
înviieria
ști
dea
ispă‹se›niia
slujeșt
amurțit
strin
afunde
întraș‹i›
crucia
desfătaș‹i›
cînt‹e›ce
răstignire
morți
întăriș‹i›
preste
cota
sus
ținitoriu
leagea
născătoarei
volnic
sty(h
ispovedim
grăiia
mărturisască
patriarh$
slăvim
neînţelepţi
cestor
oltean
muncă
cîtăr
scau›n
săi
îmblași
botedzaț
blagoslovi
crie‹dință›
arătat
tatăl$
înceapere
cuptoriul$
bună
t(ž)‹
ascuns
învață
apostolii
sfinte
tîmpina
mînecară
mirat$
veniți
amistuiia
priimit$
venirii
giceți
necredința
sît
hvalitele
satelor
sîrguirea
bunătatia
oameni
manuscrisului
ominescu
îngropariei
izvor
moară
bo(g
scularia
iertarea
zidiriei
pruncul$
omnului
jelanie
duminică
viedzu
eși
ispovĕmsę
mintea
jiumătate
poftiră
năpăștile
țărî
sculăm
nour
micul
pruncoaie
despunitoare
cuvîntă
izvorul
para
puțină
nevoim
putearea
nalțe
troițe
socotitului
voinicii
st
preacinstii
iubit$
biruiiu
stemului
preabucurata
fără
taina
lepădat$
pus$
tă
luminară
mar‹e›
apucată
trimi
ispăsitoriului
înaintia
apucat
hiară
despunitoriului
ix-cxii
propoveduiia
bureatelui
invise
strigat$
lăsatu
d‹ă›tătoriul
vădzutele
mici
porunci
lăcuiria
nicidecum
învisu-li
purtătoare
rugăciunia
emmanoil
tro(p
razime
necriedzînd
putearnic
aprinse-me
descoperiși
astăz
nordic
izbăvi
robii
buucră
erai
credincioșii
ată
păzită
zile
alți
prădași
bõ
nedejduimu
post
iubitoriule
aprinsă
originile
nescris
plîngeriei
propoveduitoare
îprotiva
critica
sălaşul$
rodurile
glas
ară‹tat›
sfinţii
împărățiia
apărare
‹l›acrămile
izbavă
destoinicie
atingerea
meşteri
dezbrăcat
turnă
strigî‹nd›
sfnților$
trebuiaște
slavistică
ră_te
sfntei
mir
fecioare
vășciorul$
osîndiți
românești
d‹e›
învățătura
celu
arătaș‹i›
rădicăm
izvoriaște
iubi
cetatea
i(n
înși
să
grăitule
cialia
enciclopedică
biruire
neadaus
‹în›tr
dziseși
seareca
propoveduiască
policie
po
fărămoarte
neajun
săditoriul$
toarea
arăţi
vădzură
nașteriei
socotiaște-me
hristoase
isipăsitor
vrea
cîtu
cuvîntul$
română
pămînt$
răbda
cale
venit
facerile
svĕtilna
ce
po(d
în‹a›inte
hii
giurămîntul
dzilele
dem‹ă›neață
instituția
rușinăm
părinți
tineriațele
purta
spodobit
plîngia
rușinași
prăvălită
casa
cuvîntăm
pravosla
închina
poama
d)ne
tăcia
dpă
viul
înapoi
acela
slobodzit
g]turi
mîntuiaște
învisului
usebită
tul$
structura
prilăstitura
chivu
dumnedzeiești
aciastia
sla
întrupat$
noiaște
zice
ornamentele
închisă
preadumnedzeiescu
aciasta
botesz$
podobiile
notru
apărat
pravilă
doa
sufletul
iuți
at$
săboarăle
pecețile
iaste
arătatu
surilor
niște
nemestecat
arhipăstoriei
tocmit
opta
cunoscut
oare
adurmiți
area
hristosul
ruga
slă›viaște
beseareca
sĕd(l)ana
spodobeaște
arătat$
punct
socotim
si‹m›țiră
fecioriia
țate
arhiereilor
bibliografie
fundu
tebę
spice
sfîrși
bogătatia
tăia
tremisă
încue
măsura
nedatate
împrotivă
găsită
susăau
dzise
călcă
trebui‹n›ță
ranelor
necriedinciosu
cf
preasfîntului
pecetluiși
hrană
criedință
recente
sa(m
întrupîndu
turnarea
omagiu
minunia
nă
greși
imcă
sione
cugetul
lucrătoriului
spăsască
priimi
coliba
apoi
vă
domnitoriule
păzitor
uciz
naște
săvîrșesc$
foc
sfintului
toți
sfîrșiaște
purtării
trecut
mijloc
probabil
pugoară
‹a›cesta
apropiat$
vom
cădzuți
steaoa
leage
utilizată
isprăviască
sălășluiască
primiră
înda
omorîș‹i›
necuvântată
pruncoia
biruitoriule
bucure
ve‹sti›ră
deusebi
întrupării
lucrează
române
prĕmǫdrago
raiul
sara
tămăci
durărilor$
cursără
înfricoșară
dulceții
gol
întreită
dezlegă
începător
ioav$
mine
tiame
trandafir$
aibi
căc
desfătă
scriere
vistiiariului
bazată
împluși
‹spune›
